date,district,confirmed,deaths,from_abroad,known_domestic_source
2020-03-19,Kymenlaakso,3,0,0,0
2020-03-19,Lappi,3,0,0,0
2020-03-19,Länsi-Pohja,0,0,0,0
2020-03-19,Pirkanmaa,38,0,0,0
2020-03-19,Pohjois-Karjala,6,0,0,0
2020-03-19,Pohjois-Pohjanmaa,37,0,0,0
2020-03-19,Pohjois-Savo,10,0,0,0
2020-03-19,Päijät-Häme,3,0,0,0
2020-03-19,Satakunta,13,0,0,0
2020-03-19,Vaasa,14,0,0,0
2020-03-19,Varsinais-Suomi,30,0,0,0
2020-03-20,Ahvenanmaa,2,0,0,0
2020-03-20,Etelä-Karjala,5,0,0,0
2020-03-20,Etelä-Pohjanmaa,5,0,0,0
2020-03-20,Etelä-Savo,8,0,0,0
2020-03-20,HUS,486,0,0,0
2020-03-20,Itä-Savo,1,0,0,0
2020-03-20,Kainuu,4,0,0,0
2020-03-20,Kanta-Häme,18,0,0,0
2020-03-20,Keski-Pohjanmaa,3,0,0,0
2020-03-20,Keski-Suomi,25,0,0,0
2020-03-20,Kymenlaakso,5,0,0,0
2020-03-20,Lappi,3,0,0,0
2020-03-20,Länsi-Pohja,1,0,0,0
2020-03-20,Pirkanmaa,48,0,0,0
2020-03-20,Pohjois-Karjala,6,0,0,0
2020-03-20,Pohjois-Pohjanmaa,39,0,0,0
2020-03-20,Pohjois-Savo,12,0,0,0
2020-03-20,Päijät-Häme,4,0,0,0
2020-03-20,Satakunta,14,0,0,0
2020-03-20,Vaasa,14,0,0,0
2020-03-20,Varsinais-Suomi,36,0,0,0
2020-03-21,Ahvenanmaa,2,0,0,0
2020-03-21,Etelä-Karjala,6,0,0,0
2020-03-21,Etelä-Pohjanmaa,5,0,0,0
2020-03-21,Etelä-Savo,9,0,0,0
2020-03-21,HUS,553,0,0,0
2020-03-21,Itä-Savo,1,0,0,0
2020-03-21,Kainuu,4,0,0,0
2020-03-21,Kanta-Häme,18,0,0,0
2020-03-21,Keski-Pohjanmaa,3,0,0,0
2020-03-21,Keski-Suomi,26,0,0,0
2020-03-21,Kymenlaakso,5,0,0,0
2020-03-21,Lappi,3,0,0,0
2020-03-21,Länsi-Pohja,3,0,0,0
2020-03-21,Pirkanmaa,54,0,0,0
2020-03-21,Pohjois-Karjala,7,0,0,0
2020-03-21,Pohjois-Pohjanmaa,40,0,0,0
2020-03-21,Pohjois-Savo,13,0,0,0
2020-03-21,Päijät-Häme,7,0,0,0
2020-03-21,Satakunta,15,0,0,0
2020-03-21,Vaasa,15,0,0,0
2020-03-21,Varsinais-Suomi,37,0,0,0
2020-03-22,Ahvenanmaa,4,0,0,0
2020-03-22,Etelä-Karjala,6,0,0,0
2020-03-22,Etelä-Pohjanmaa,6,0,0,0
